name,blurb,goal,campaign_duration,latitude,longitude,category,subcategory,outcome,days_to_success
Rocks to Stocks,Modern London is home to a poverty driven ambitious young man who turns his life around when he finds the stock market.,35000,30,51.430921,-0.09365,film & video,drama,0,0
T.H.C. The Herb Chronicle,"A news paper about the Cannabis industry. Not stories about growing, actual news stories of what is happening in the cannabis industry.",15000,60.04166667,47.037874,-122.900695,journalism,print,0,0
2015 Dime Calendar Project,The 2015 Dime Calendar will be the jump start to an amazing collection from All American Dimes.,5000,60,37.804351,-122.271164,publishing,calendars,0,0
Purchase Tidy Bloods of Poem,"A book of verse indicting the human squelch in every form, maker foremost implicated, hence money.",666,32.95833333,30.267153,-97.743061,publishing,poetry,0,0
T.L.T.T.,"Tacoma,WA. Poker/Pool club. We rent venues for our members and have a social party for community bonding. Events are catered and fun.",5000,30,47.252877,-122.444291,games,live games,0,0
Resilience Tshirt,"Destination to destination, the journey will tear you apart, STAY RESILIENT",1000,47,42.071492,-70.8092,art,textiles,0,0
Videogames and medicine,In this book we analyze the relationship between videogames and medicine which is based on scientific evidence.,120000,30,19.432608,-99.133208,publishing,academic,0,0
Mexdulon: Building digital circuits like never before!,Experiments with Computer Architectures for Kids and Students aged 9-99,15000,42,52.160443,10.534244,technology,diy electronics,0,0
Starting Rugged and Outdoors,Wanting to get into photography but want to photography what I do through my outdoor profession,500,30,48.380895,-89.247682,photography,nature,0,0
Solid eye MGS4,I want to create a Solid eye 100% functional with modifications in camera to see through and watch for additional controller functions,3000,45.04166667,25.76168,-80.19179,technology,camera equipment,0,0
NumberRush,"A casual game for mobile devices, similar to Bejeweled or Candy Crush. But player works with numbers instead of shapes or colors.",1000,45.04166667,28.538383,-81.378927,games,puzzles,0,0
The Snow Queen at Edinburgh Fringe 2016,Theatre Anon take you into the world of Hans Christian Andersen with The Snow Queen.,10000,50,55.953252,-3.188267,theater,festivals,0,0
Aquaponics Startup for a Sustainable Future!,The idea is to grow large quantities of food year round by using fish waste to feed the plants and teach others how to do the same.,75000,30,39.221743,-81.797356,food,community gardens,0,0
Captain Jack Sparrow Community Out Reach,My community out reach project needs a little bit more help. Help me finish funding please. Savvy?,2248,30,37.208957,-93.292299,theater,immersive,0,0
Famous Women de los Muertos,A gallery show featuring influential women who should be celebrated for the beautiful badasses they were.,2600,29.95833333,40.440625,-79.995886,art,mixed media,0,0
Burntwood Alien Watch Tower,I will set up a Burntwood based Alien watch tower. Recording & streaming activity. Burntwood will be the first to know when they arrive,25000,60,52.679936,-1.921781,technology,space exploration,0,0
"""Dog Sees God: Confessions of a Teenage Blockhead""",A homegrown theater production company needs your help to celebrate community and artistry through our inaugural full season.,2800,50.8012963,47.606209,-122.332071,theater,plays,0,0
Galleries Hot to Show Urban Art-Help Me Make That Happen!,"Into The Wild Urban Style!  Large Scale Wildlife Paintings, Custom Framed Highlighted with Gilded Metals and Decorative Glazing Mediums",7000,29.03355324,41.878114,-87.629798,art,painting,0,0
Rohy: the new connected country,Do you dream of a new and connected country? We do it for you. Move here only from $250!,5325000,30,45.703269,3.344854,design,architecture,0,0
Black Heart Arts Initiative,An Edinburgh Festival Fringe show based on one of one hundred books.,6500,30,55.953252,-3.188267,art,performance art,0,0
MyGlobalMarket.com,We will revolutionize the way people earn money while shopping online. Our app and social media platform are next gen social commerce.,30000,45,37.821593,-121.999961,technology,web,0,0
Happy Flats - Sustainable Casual Footwear,The brand will connect with the consumers emotionally by creating sustainable footwear design through ethical practices.,8000,30.04166667,1.352083,103.819836,fashion,footwear,0,0
World news described by cats- fun news is pawssible,A punny website which brings world news in a catertaining fashion. Keep up with the latest global events with a cat-like ease!,300,30,-41.292381,174.778746,journalism,web,0,0
Nice to meet you: an attempt to meet the whole world,A video compilation of 200+ nationalities.,1100,60,25.204849,55.270783,journalism,video,0,0
Holy Cow Body Care,I'm bringing an organic deodorant to market made from grass-fed beef tallow. 10% of proceeds are going to fund regenerative agriculture,3000,7,35.084386,-106.650422,food,farmer's markets,0,0
Out of Focus: A Live Vintage Jazz Album,"Featuring six of North Americaâ€™s best swing musicians, in one living room.",20000,30,35.595058,-82.551487,music,jazz,0,0
